Problem Name,Rated,URL
Unstable String,1400,https://codeforces.com/problemset/problem/1535/C
Berland Regional,1400,https://codeforces.com/problemset/problem/1519/C
Potions (Both Versions),1600,https://codeforces.com/problemset/problem/1526/C2
Compression and Expansion,1600,https://codeforces.com/problemset/problem/1523/C
Arranging The Sheep,1400,https://codeforces.com/problemset/problem/1520/E
AGAGA XOOORRR,1500,https://codeforces.com/problemset/problem/1516/B
Phoenix and Towers,1400,https://codeforces.com/problemset/problem/1515/C
Maximum Sum of Products,1600,https://codeforces.com/problemset/problem/1519/D
Playoff Tournament,1800,https://codeforces.com/problemset/problem/1535/D
Eastern Exhibition,1500,https://codeforces.com/problemset/problem/1486/B
AND Sequences,1400,https://codeforces.com/problemset/problem/1513/B
Minimum Ties,1500,https://codeforces.com/problemset/problem/1487/C
Fence Painting,1600,https://codeforces.com/problemset/problem/1481/C
Maximum width,1500,https://codeforces.com/problemset/problem/1492/C
Minimum Grid Path,1500,https://codeforces.com/problemset/problem/1499/C
PriceFixed,1600,https://codeforces.com/problemset/problem/1539/D
Baby Ehab Partitions Again,1700,https://codeforces.com/problemset/problem/1516/C
Interesting Function,1500,https://codeforces.com/problemset/problem/1538/F
Good Subarrays,1600,https://codeforces.com/problemset/problem/1398/C
Longest Simple Cycle,1600,https://codeforces.com/problemset/problem/1476/C
